model,config,seed,cv_accuracy,test_accuracy,balanced_accuracy,macro_f1,roc_auc_ovr,ece,recall_normal,recall_suspect,recall_pathological
RF,B — +L4,8,0.9370588235294118,0.9507042253521126,0.9278129467020625,0.9213591419473772,0.9861769584140495,0.03554303599374022,0.9698795180722891,0.8135593220338984,1.0
RF,C — +L1+L4,8,0.9745712339400852,0.9818731117824774,0.9816400698055161,0.9816827906289315,0.9994872117132158,0.03308548729998879,0.9723926380368099,0.9754601226993865,0.9970674486803519
RF,D — Full naive,8,0.9792547834843909,0.9818731117824774,0.9816400698055161,0.9816827906289315,0.9994872117132158,0.03308548729998879,0.9723926380368099,0.9754601226993865,0.9970674486803519
RF,A — Correct,9,0.9323529411764706,0.9436619718309859,0.9031156101403192,0.908969169838735,0.9879045201673656,0.0337402190923318,0.9698795180722891,0.7966101694915254,0.9428571428571428
RF,B — +L4,9,0.9352941176470588,0.9413145539906104,0.9021115940760621,0.9061818141521822,0.9865044809201192,0.031000782472613463,0.9668674698795181,0.7966101694915254,0.9428571428571428
RF,C — +L1+L4,9,0.9760819352692363,0.973816717019134,0.9730756576849809,0.973282209584462,0.9978223281457067,0.024259930625489562,0.9522292993630573,0.9698795180722891,0.9971181556195965
RF,D — Full naive,9,0.9794561933534742,0.973816717019134,0.9730756576849809,0.973282209584462,0.9978223281457067,0.024259930625489562,0.9522292993630573,0.9698795180722891,0.9971181556195965
XGB,A — Correct,0,0.9411764705882353,0.9366197183098591,0.8830639750284431,0.8829992660135039,0.9872149932119076,0.03482333679956054,0.9668674698795181,0.7966101694915254,0.8857142857142857
XGB,B — +L4,0,0.9441176470588235,0.9436619718309859,0.8907217246710815,0.8944234875269358,0.9866318856249467,0.03334097515955437,0.9728915662650602,0.8135593220338984,0.8857142857142857
XGB,C — +L1+L4,0,0.9791033379275383,0.9768378650553877,0.9764704725331749,0.9765002018065504,0.9985991393874795,0.010218616775280796,0.963963963963964,0.9683544303797469,0.997093023255814
XGB,D — Full naive,0,0.9822759315206445,0.9768378650553877,0.9764704725331749,0.9765002018065504,0.9985991393874795,0.010218616775280796,0.963963963963964,0.9683544303797469,0.997093023255814
XGB,A — Correct,1,0.9400000000000001,0.960093896713615,0.9372463218491399,0.9414500387544642,0.9901804106495137,0.020691123885136817,0.9759036144578314,0.864406779661017,0.9714285714285714
XGB,B — +L4,1,0.9411764705882353,0.9577464788732394,0.9230768108754631,0.9332672778743861,0.9909882363973187,0.017323359348341175,0.9789156626506024,0.847457627118644,0.9428571428571428
XGB,C — +L1+L4,1,0.9783479872629627,0.9859013091641491,0.9860821012908726,0.9861364177752848,0.9993851111286493,0.0076131759287702576,0.9855072463768116,0.9759036144578314,0.9968354430379747
XGB,D — Full naive,1,0.9826787512588118,0.9859013091641491,0.9860821012908726,0.9861364177752848,0.9993851111286493,0.0076131759287702576,0.9855072463768116,0.9759036144578314,0.9968354430379747
XGB,A — Correct,2,0.9405882352941177,0.9460093896713615,0.9087653276544435,0.9128340379319706,0.9874715987078048,0.026789432899452185,0.9698795180722891,0.8135593220338984,0.9428571428571428
XGB,B — +L4,2,0.9405882352941177,0.9553990610328639,0.9267184962610733,0.9311599338530593,0.9878584556500897,0.02674526382778393,0.9728915662650602,0.864406779661017,0.9428571428571428
XGB,C — +L1+L4,2,0.9773442326885604,0.9818731117824774,0.9814564017085113,0.9816020228964342,0.9982154084949153,0.007935234456479092,0.9788519637462235,0.9655172413793104,1.0
XGB,D — Full naive,2,0.9802618328298086,0.9818731117824774,0.9814564017085113,0.9816020228964342,0.9982154084949153,0.007935234456479092,0.9788519637462235,0.9655172413793104,1.0
XGB,A — Correct,3,0.95,0.9413145539906104,0.9021115940760621,0.9017786087365086,0.9863603054618656,0.02628028721359874,0.9668674698795181,0.7966101694915254,0.9428571428571428
XGB,B — +L4,3,0.9488235294117647,0.9389671361502347,0.8964618765619378,0.8978471429175655,0.9857914267989213,0.026631649948674053,0.9668674698795181,0.7796610169491526,0.9428571428571428
XGB,C — +L1+L4,3,0.9765819115061071,0.9879154078549849,0.9879284731227672,0.987971976730198,0.9997187993698566,0.0045029184963004225,0.9787878787878788,0.9912280701754386,0.9937694704049844
XGB,D — Full naive,3,0.9822759315206445,0.9879154078549849,0.9879284731227672,0.987971976730198,0.9997187993698566,0.0045029184963004225,0.9787878787878788,0.9912280701754386,0.9937694704049844
XGB,A — Correct,4,0.9452941176470588,0.960093896713615,0.9318290109590907,0.933096996241309,0.9930746672419541,0.020769021228788046,0.9819277108433735,0.8135593220338984,1.0
XGB,B — +L4,4,0.943529411764706,0.960093896713615,0.9271833095092233,0.9282642908678508,0.9933264808067284,0.018803520655370245,0.9849397590361446,0.7966101694915254,1.0
XGB,C — +L1+L4,4,0.9803618332462019,0.9808660624370594,0.980623799077565,0.9806724452517203,0.9989572310292911,0.007910470536346638,0.9766763848396501,0.9739413680781759,0.9912536443148688
XGB,D — Full naive,4,0.9816717019133936,0.9808660624370594,0.980623799077565,0.9806724452517203,0.9989572310292911,0.007910470536346638,0.9766763848396501,0.9739413680781759,0.9912536443148688
XGB,A — Correct,5,0.9452941176470588,0.9507042253521126,0.9068992677732722,0.9146260203231718,0.9893049666060006,0.026840347067443135,0.9759036144578314,0.8305084745762712,0.9142857142857143
XGB,B — +L4,5,0.9470588235294117,0.9483568075117371,0.8973754582494627,0.9069619287892504,0.9893785493415036,0.0275243630053232,0.9759036144578314,0.8305084745762712,0.8857142857142857
XGB,C — +L1+L4,5,0.9813709741298734,0.9828801611278952,0.9827487165068182,0.9827278704201782,0.9987733168435561,0.007494090618801713,0.972809667673716,0.9783950617283951,0.9970414201183432
